 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 5249.34 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 2   SUL         0 5249.34 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 3   NORDESTE    0 5249.34 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 4   NORTE       0 5249.34 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000 
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2020                                                            10729.  10767.  10846.  10860.  10843. 
2021    10868.  10855.  10831.  10850.  10827.  10818.  10814.  10814.  11235.  11260.  11263.  11226. 
2022    11257.  11239.  11242.  12220.  12139.  12145.  12160.  12118.  12180.  12213.  12217.  12189. 
2023    12189.  12209.  12168.  12240.  12139.  12145.  12160.  12118.  12200.  12194.  12217.  12231. 
2024    12189.  12202.  12231.  12160.  12160.  12167.  12118.  12139.  12180.  12155.  12217.  12210. 

2020                                                             5241.   5223.   6648.   6654.   6647. 
2021     6658.   6652.   6642.   6650.   6640.   6636.   6635.   6635.   7000.   7005.   7009.   7002. 
2022     7008.   7005.   7005.   7445.   7426.   7427.   7431.   7421.   7435.   7443.   7444.   7437. 
2023     7437.   7442.   7433.   7449.   7426.   7427.   7431.   7421.   7440.   7439.   7444.   7447. 
2024     7437.   7440.   7447.   7431.   7431.   7432.   7421.   7426.   7435.   7430.   7444.   7442. 
   1  11               0
2020                                                             4000.   4000.   4000.   4000.   4000. 
2021     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2022     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2023     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2024     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 

2020                                                             3675.   3675.   3675.   3342.   3342. 
2021     3342.   3342.   3342.   3342.   3675.   3675.   3675.   3675.   3675.   3675.   3342.   3342. 
2022     3342.   3342.   3342.   3342.   3675.   3675.   3675.   3675.   3675.   3675.   3342.   3342. 
2023     3342.   3342.   4358.   4322.   4706.   4703.   4695.   4716.   4675.   4678.   4334.   4327. 
2024     4348.   4341.   4327.   4362.   4695.   4692.   4716.   4706.   4685.   4698.   4334.   4337. 
   3  11               0
2020                                                             4500.   4500.   5500.   5500.   5500. 
2021     5500.   5500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500. 
2022     6500.   6500.   6500.   6500.   6500.   6500.   8500.   8500.   8500.   8500.   8500.   8500. 
2023     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2024     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 

2020                                                             5500.   5500.   5500.   5500.   5500. 
2021     5500.   5500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500.   6500. 
2022     6500.   6500.   6500.   6500.   6500.   6500.   8500.   8500.   8500.   8500.   8500.   8500. 
2023     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
2024     8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500.   8500. 
   4  11               0
2020                                                            99999.  99999.  99999.  99999.  99999. 
2021    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2022    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2023    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2024    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 

2020                                                             4405.   4488.   4551.   4480.   4419. 
2021     4454.   4514.   4615.   4631.   4598.   4413.   4449.   4723.   4784.   4704.   4666.   4550. 
2022     4705.   4768.   4873.   4890.   4855.   4662.   4700.   4986.   5050.   4966.   4927.   4806. 
2023     4892.   4957.   5066.   5083.   5047.   4848.   4887.   5182.   5248.   5162.   5121.   4996. 
2024     5132.   5199.   5311.   5330.   5292.   5085.   5126.   5432.   5501.   5411.   5369.   5239. 
   1   3               0
2020                                                             1300.   1300.   2499.   2503.   2498. 
2021     2505.   2502.   4505.   4500.   4507.   4509.   4510.   4510.   4503.   4498.   4497.   4505. 
2022     4498.   4502.   5264.   5225.   5327.   5319.   5300.   5353.   5275.   5234.   5229.   5264. 
2023     5264.   5239.   5290.   5200.   5327.   5319.   5300.   5353.   5250.   5258.   5229.   5212. 
2024     5264.   5248.   5212.   5300.   5300.   5292.   5353.   5327.   5275.   5307.   5229.   5238. 

2020                                                             2000.   2000.   3000.   3000.   3000. 
2021     3000.   3000.   5500.   5500.   5500.   5500.   5500.   5500.   5500.   5500.   5500.   5500. 
2022     5500.   5500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500. 
2023     7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500. 
2024     7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500.   7500. 
   1   4               0
2020                                                             2500.   2500.   2500.   2500.   2500. 
2021     2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500. 
2022     2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500.   2500. 
2023     2500.   2500.   4105.   4093.   4110.   4109.   4107.   4114.   4100.   4101.   4097.   4095. 
2024     4102.   4100.   4095.   4107.   4107.   4106.   4114.   4110.   4103.   4108.   4097.   4098. 

2020                                                             2000.   2000.   2500.   2500.   2500. 
2021     8000.   8000.   8000.   8000.   8000.   8000.   2500.   2500.   2500.   2500.   2500.   2500. 
2022     8000.   8000.   8000.   8000.   8000.   8000.   2500.   2500.   2500.   2500.   2500.   2500. 
2023     8000.   8000.   8000.   8000.   8000.   8000.   4000.   4000.   4000.   4000.   4000.   4000. 
2024     8000.   8000.   8000.   8000.   8000.   8000.   4000.   4000.   4000.   4000.   4000.   4000. 
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2020                                                            37567.  38322.  39186.  39274.  38830. 
2021    40524.  41230.  42156.  39820.  38468.  37831.  37758.  38771.  39602.  40268.  39591.  39604. 
2022    42016.  42748.  43708.  41286.  39883.  39224.  39148.  40198.  41060.  41750.  41048.  41061. 
2023    43520.  44278.  45272.  42763.  41311.  40628.  40549.  41637.  42530.  43244.  42517.  42531. 
2024    44995.  45779.  46807.  44213.  42712.  42005.  41924.  43049.  43972.  44710.  43958.  43973. 
POS     44995.  45779.  46807.  44213.  42712.  42005.  41924.  43049.  43972.  44710.  43958.  43973. 
   2
2020                                                            11092.  11003.  11179.  11405.  11754. 
2021    12686.  12458.  13173.  11580.  11320.  11358.  11505.  11542.  11401.  11621.  11888.  12022. 
2022    13167.  12931.  13673.  12020.  11750.  11789.  11942.  11981.  11834.  12062.  12339.  12478. 
2023    13646.  13400.  14170.  12456.  12177.  12217.  12376.  12416.  12264.  12501.  12788.  12932. 
2024    14145.  13890.  14688.  12912.  12622.  12664.  12828.  12870.  12712.  12958.  13255.  13405. 
POS     14145.  13890.  14688.  12912.  12622.  12664.  12828.  12870.  12712.  12958.  13255.  13405. 
   3
2020                                                            10560.  10683.  11141.  11293.  11361. 
2021    11480.  11492.  11699.  11504.  11230.  10938.  10767.  10927.  11215.  11505.  11635.  11631. 
2022    11990.  12003.  12219.  12016.  11730.  11425.  11246.  11413.  11713.  12017.  12153.  12149. 
2023    12505.  12518.  12743.  12532.  12233.  11915.  11729.  11902.  12216.  12533.  12674.  12670. 
2024    13042.  13056.  13291.  13070.  12759.  12427.  12233.  12414.  12741.  13071.  13219.  13215. 
POS     13042.  13056.  13291.  13070.  12759.  12427.  12233.  12414.  12741.  13071.  13219.  13215. 
   4
2020                                                             5605.   5688.   5750.   5680.   5619. 
2021     5654.   5714.   5815.   5831.   5798.   5613.   5649.   5923.   5984.   5904.   5866.   5750. 
2022     5905.   5968.   6073.   6090.   6055.   5862.   5900.   6186.   6250.   6166.   6127.   6006. 
2023     6092.   6157.   6266.   6283.   6247.   6048.   6087.   6382.   6448.   6362.   6321.   6196. 
2024     6332.   6398.   6511.   6530.   6492.   6285.   6326.   6632.   6701.   6611.   6569.   6439. 
POS      6332.   6398.   6511.   6530.   6492.   6285.   6326.   6632.   6701.   6611.   6569.   6439. 
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX  XBL  XXXXXXXXXXXXXXXXXXXX  XTE
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1    1  PCH
2020                                                             1345.   1270.   1373.   1938.   2449. 
2021     2396.   2580.   2662.   2417.   2131.   1772.   1500.   1365.   1287.   1390.   1950.   2464. 
2022     2417.   2602.   2683.   2435.   2162.   1798.   1526.   1399.   1318.   1422.   1995.   2521. 
2023     2467.   2655.   2738.   2485.   2198.   1832.   1549.   1410.   1328.   1434.   2011.   2528. 
2024     2483.   2672.   2755.   2504.   2209.   1838.   1557.   1415.   1334.   1441.   2019.   2558. 
   1    2  PCT
2020                                                             4501.   4351.   4031.   3284.   1810. 
2021      812.    877.   1311.   2983.   3965.   4368.   4592.   4626.   4470.   4144.   3477.   1923. 
2022      863.    923.   1369.   3091.   4099.   4516.   4752.   4782.   4626.   4276.   3500.   1934. 
2023      867.    928.   1382.   3135.   4176.   4601.   4841.   4872.   4715.   4353.   3541.   1954. 
2024      873.    935.   1390.   3144.   4177.   4603.   4838.   4874.   4713.   4348.   3541.   1954. 
   1    3  EOL
2020                                                                8.     11.     12.      9.      9. 
2021       13.      8.      6.      4.      4.      4.      5.      8.     11.     12.      9.      9. 
2022       13.      8.      6.      4.      4.      4.      5.      8.     11.     12.      9.      9. 
2023       13.      8.      6.      4.      4.      4.      5.      8.     11.     12.      9.      9. 
