NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  15 GTMIN   195.40 10 2017 10 2017
  15 GTMIN   199.77 11 2017 11 2017
  15 IPTER     0.00  1 2018  1 2018
  15 IPTER     2.29  2 2018                                                                                                                                                                                                                                                                                                                                       
 236 POTEF   565.50  1 2020          MARLIM AZUL                                                                                                                                                        
 236 GTMIN   420.84  1 2020  4 2020                                                                                                                                                                     
 236 GTMIN   420.84 11 2020  4 2021                                                                                                                                                                     
 236 GTMIN   420.84 11 2021                                                                                                                                                                             
 110 POTEF   572.10 10 2017          N.PIRATINING                                                                                                                                                       
 110 FCMAX    65.51 10 2017                                                                                                                                                                             
 172 POTEF   100.00 10 2017          NORTEFLU-2                                                                                                                                                         
 172 IPTER     0.00  1 2021  6 2021                                                                                                                                                                     
 172 IPTER    48.39  7 2021  7 2021                                                                                                                                                                     
 172 IPTER     0.00  8 2021                                                                                                                                                                             
 173 POTEF   200.00 10 2017          NORTEFLU-3                                                                                                                                                         
 173 IPTER     0.00  1 2018  7 2018                                                                                                                                                                     
 173 IPTER    61.29  8 2018  8 2018                                                                                                                                                                     
 173 IPTER     0.00  9 2018 10 2018                                                                                                                                                                     
 173 IPTER    10.00 11 2018 11 2018                                                                                                                                                                     
 173 IPTER     0.00 12 2018  4 2019                                                                                                                                                                     
 173 IPTER     9.68  5 2019  5 2019                                                                                                                                                                     
 173 IPTER     0.00  6 2019 12 2019                                                                                                                                                                     
 173 IPTER     0.00  1 2021  5 2021                                                                                                                                                                     
 173 IPTER    76.67  6 2021  6 2021                                                                                                                                                                     
 173 IPTER   100.00  7 2021  7 2021                                                                                                                                                                     
 173 IPTER     0.00  8 2021  8 2021                                                                                                                                                                     
 173 IPTER    76.67  9 2021  9 2021                                                                                                                                                                     
 173 IPTER     0.00 10 2021                                                                                                                                                                             
 174 POTEF   126.78 10 2017          NORTEFLU-4                                                                                                                                                         
 174 IPTER     0.00  1 2018  7 2018                                                                                                                                                                     
 174 IPTER   100.00  8 2018  8 2018                                                                                                                                                                     
 174 IPTER     0.00  9 2018 10 2018                                                                                                                                                                     
 174 IPTER   100.00 11 2018 11 2018                                                                                                                                                                     
 174 IPTER     0.00 12 2018  4 2019                                                                                                                                                                     
 174 IPTER   100.00  5 2019  5 2019                                                                                                                                                                     
 174 IPTER     0.00  6 2019 10 2019                                                                                                                                                                     
